id
Source
Source.Web
Source.Mobile App
Source.Mobile App.Third-party
Source.Mobile App.Android
Source.Mobile App.Apple
Source.Mobile App.Nokia
Source.Mobile App.Windows
Source.Mobile App.Sony
Source.Mobile App.Samsung
Source.Mobile App.Third-party.Twibbon Mobile
Source.Mobile App.Third-party.Süddeutsche-de Basic on iOS
Source.Mobile App.Android.Echofon for Android PRO
Source.Mobile App.Android.Plume for Android
Source.Mobile App.Apple.Tweetbot for iOS
Source.Mobile App.Apple.Le Monde-fr on iOS
Source.Mobile App.Nokia.Social by Nokia
Source.Mobile App.Windows.Tweetium for Windows
Source.Mobile App.Sony.Sony Xperia™ smartphone
Source.Mobile App.Samsung.Twitter for Samsung Tablets
Source.Web App
Source.Mobile Web
Source.Web Widget
Source.Desktop App
Source.Undefined
Source.Web.Twitter Client
Source.Mobile App.Twitter Client
Source.Web.Entertainment
Source.Web App.Entertainment
Source.Mobile App.Entertainment
Source.Mobile Web.Twitter Client
Source.Web Widget.Link Share
Source.Web App.Engagement
Source.Desktop App.Twitter Client
Source.Mobile App.Engagement
Source.Web App.Link Share
Source.Web App.Twitter Client
Source.Web.Twitter Client.Twitter
Source.Mobile App.Twitter Client.Apple
Source.Web.Entertainment.Facebook
Source.Mobile App.Twitter Client.Android
Source.Web App.Entertainment.Google
Source.Mobile App.Entertainment.Facebook
Source.Mobile Web.Twitter Client.Browser
Source.Web Widget.Link Share.Twitter
Source.Web App.Engagement.Third-party
Source.Desktop App.Twitter Client.Apple
Source.Mobile App.Engagement.Apple
Source.Web App.Engagement.Android
Source.Mobile App.Twitter Client.Blackberry
Source.Web App.Entertainment.Third-party
Source.Mobile App.Engagement.Android
Source.Web App.Engagement.Twitter
Source.Web App.Entertainment.Yahoo
Source.Web App.Entertainment.Apple
Source.Web App.Link Share.Third-party
Source.Mobile App.Entertainment.Apple
Source.Mobile App.Twitter Client.Windows
Source.Mobile App.Entertainment.Third-party
Source.Undefined.Third-party
Source.Mobile App.Entertainment.Twitter
Source.Web App.Entertainment.Facebook
Source.Mobile App.Engagement.Third-party
Source.Web App.Twitter Client.Third-party
Source.Web App.Entertainment.Twitter
Source.Mobile App.Engagement.Windows
Source.Web App.Link Share.Twitter
Source.Web Widget.Link Share.Third-party
Source.Web App.Link Share.Web Widget
Source.Web.Twitter Client.Twitter.Twitter Web Client
Source.Mobile App.Twitter Client.Apple.Twitter for iPhone
Source.Mobile App.Twitter Client.Android.Twitter for Android
Source.Web App.Entertainment.Google.Google
Source.Mobile App.Entertainment.Facebook.Instagram
Source.Mobile Web.Twitter Client.Browser.Mobile Web (M2)
Source.Web Widget.Link Share.Twitter.WP to twitter per sito
